coefficient,fixed_391_input_weighted_estimate_pp,population,estimate_role,inference_status,legacy_input_cluster_inference_status,invalid_legacy_fields,design_based_p_value,design_based_confidence_interval
C(listing_model)[T.WCL]:C(window_gates)[T.16],0.0,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.WCL]:C(window_gates)[T.64],0.0,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(window_gates)[T.16],0.0,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(window_gates)[T.64],0.0,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.WCL]:C(budget_seconds)[T.10],9.284047379918498,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.WCL]:C(budget_seconds)[T.30],9.324317223204202,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.WCL]:C(budget_seconds)[T.120],9.295294650091781,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(budget_seconds)[T.10],6.451583281644026,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(budget_seconds)[T.30],6.42341936638909,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(budget_seconds)[T.120],6.433788542414887,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16],0.0,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64],0.0,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(budget_seconds)[T.10],2.9204188709275147,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(budget_seconds)[T.30],2.9117979335442565,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(budget_seconds)[T.120],2.9117979335442565,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(window_gates)[T.16]:C(budget_seconds)[T.10],9.882771607020175,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(window_gates)[T.16]:C(budget_seconds)[T.30],9.863511386209181,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(window_gates)[T.16]:C(budget_seconds)[T.120],9.8925339593216,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(window_gates)[T.64]:C(budget_seconds)[T.10],10.845084618271358,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(window_gates)[T.64]:C(budget_seconds)[T.30],10.869656163930467,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(window_gates)[T.64]:C(budget_seconds)[T.120],10.859815176495797,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16],0.0,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64],0.0,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16],0.0,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64],0.0,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(budget_seconds)[T.10],-0.623323295921962,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(budget_seconds)[T.30],-0.663593139207666,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(budget_seconds)[T.120],-0.6345705660952454,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(budget_seconds)[T.10],0.4643157674775693,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(budget_seconds)[T.30],0.260631334559265,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(budget_seconds)[T.120],0.4729367048608274,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.WCL]:C(window_gates)[T.16]:C(budget_seconds)[T.10],-8.454130878040152,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.WCL]:C(window_gates)[T.16]:C(budget_seconds)[T.30],-8.434870657229158,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.WCL]:C(window_gates)[T.16]:C(budget_seconds)[T.120],-8.463893230341577,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.WCL]:C(window_gates)[T.64]:C(budget_seconds)[T.10],-9.306253023658163,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.WCL]:C(window_gates)[T.64]:C(budget_seconds)[T.30],-9.324317223204202,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.WCL]:C(window_gates)[T.64]:C(budget_seconds)[T.120],-9.295294650091781,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(window_gates)[T.16]:C(budget_seconds)[T.10],-5.688907156205339,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(window_gates)[T.16]:C(budget_seconds)[T.30],-5.6871919971492595,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(window_gates)[T.16]:C(budget_seconds)[T.120],-5.658442122908448,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(window_gates)[T.64]:C(budget_seconds)[T.10],-6.459844554226038,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(window_gates)[T.64]:C(budget_seconds)[T.30],-6.451032769279694,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(window_gates)[T.64]:C(budget_seconds)[T.120],-6.426319103094883,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16]:C(budget_seconds)[T.10],4.913312666551103,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16]:C(budget_seconds)[T.30],4.976851301545148,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16]:C(budget_seconds)[T.120],4.904294868764096,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64]:C(budget_seconds)[T.10],4.087287567958546,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64]:C(budget_seconds)[T.30],4.123473356704152,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64]:C(budget_seconds)[T.120],4.140319792821132,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16]:C(budget_seconds)[T.10],-0.16613816379020352,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
