experiment,metric,rule,n_rows_flagged,pct_of_experiment,classification,rationale,example_values,example_ids
E5,runtime_seconds,zscore_abs_gt_4,23,0.383,benign,heavy-tailed runtime distribution (not a validity issue),"0.0656793, 0.0213528, 0.0392525, 0.0276415, 0.0200374","2, 0, 1, 9, 5, 8, 8, 9, 9, 0, 0, 2, 7, 9, 0, 2, 2, 5, 5, 5, 5, 5, 5"
E5,runtime_seconds,iqr_1.5x,294,4.9,benign,heavy-tailed runtime distribution (not a validity issue),"0.0656793, 0.00963497, 0.00892973, 0.00959873, 0.00651836","2, 2, 2, 9, 5, 5, 5, 5, 5, 5, 5, 8, 8, 0, 0, 0, 0, 1, 1, 1, 1, 1, 3, 3, 4"
E10,reduction,zscore_abs_gt_4,10,0.525,benign,"in-range statistical tail value (distributional, not a validity issue)","1, 1, 1, 1, 1",
E10,reduction,iqr_1.5x,357,18.74,benign,"in-range statistical tail value (distributional, not a validity issue)","0.12, 0.12, 0.12, 0.12, 0.12",
E10,fidelity,fidelity_fp_epsilon,174,9.134,benign,"fidelity 1+eps (float rounding, |eps|<=1e-9)","1, 1, 1, 1, 1",
E10,runtime_seconds,zscore_abs_gt_4,3,0.157,benign,heavy-tailed runtime distribution (not a validity issue),"0.290582, 0.310734, 0.322058",
E10,runtime_seconds,iqr_1.5x,9,0.472,benign,heavy-tailed runtime distribution (not a validity issue),"0.273567, 0.25634, 0.253186, 0.290582, 0.278738",
E11,reduction,zscore_abs_gt_4,22,4.239,benign,"in-range statistical tail value (distributional, not a validity issue)","1, 1, 1, 1, 1","cnot_chain_3, cnot_chain_3, cnot_chain_4, cnot_chain_4, cnot_chain_5, cnot_chain_5, cnot_chain_6, cnot_chain_6, cnot_chain_7, cnot_chain_7, cnot_chain_8, cnot_chain_8, cnot_chain_9, cnot_chain_9, cnot_chain_10, cnot_chain_10, cnot_chain_12, cnot_chain_12, cnot_chain_15, cnot_chain_15, cnot_chain_20, cnot_chain_20"
E11,fidelity,fidelity_fp_epsilon,45,8.671,benign,"fidelity 1+eps (float rounding, |eps|<=1e-9)","1, 1, 1, 1, 1","qaoa_line_3, qaoa_line_3, qaoa_line_3, vqe_twolocal_3, vqe_twolocal_3, vqe_twolocal_3, qaoa_line_4, qaoa_line_4, qaoa_line_4, uccsd_5, uccsd_5, uccsd_5, qaoa_line_6, qaoa_line_6, qaoa_line_6, uccsd_7, uccsd_7, uccsd_7, qaoa_line_8, qaoa_line_8, qaoa_line_8, qaoa_line_9, qaoa_line_9, qaoa_line_9, vqe_twolocal_9"
E11,fidelity,fidelity_zero,12,2.312,explainable,failed trial (success=False),"0, 0, 0, 0, 0","qwalk_7, qwalk_7, qwalk_7, grover_10_r1, grover_10_r1, grover_10_r1, iqp_10_r1, iqp_10_r1, iqp_10_r1, uccsd_10_r1, uccsd_10_r1, uccsd_10_r1"
E11,fidelity,zscore_abs_gt_4,12,2.312,explainable,failed trial (success=False),"0, 0, 0, 0, 0","qwalk_7, qwalk_7, qwalk_7, grover_10_r1, grover_10_r1, grover_10_r1, iqp_10_r1, iqp_10_r1, iqp_10_r1, uccsd_10_r1, uccsd_10_r1, uccsd_10_r1"
E11,fidelity,iqr_1.5x,69,13.295,explainable,failed trial (success=False),"1, 1, 1, 1, 1","qwalk_4, qwalk_4, qwalk_4, grover_5, grover_5, grover_5, qwalk_5, qwalk_5, qwalk_5, grover_6, grover_6, grover_6, qwalk_6, qwalk_6, qwalk_6, grover_7, grover_7, grover_7, qwalk_7, qwalk_7, qwalk_7, grover_8, grover_8, grover_8, qwalk_8"
E11,runtime_seconds,zscore_abs_gt_4,3,0.578,benign,heavy-tailed runtime distribution (not a validity issue),"4307.56, 5028.64, 17434.3","qwalk_10, qwalk_10, qwalk_10"
E11,runtime_seconds,iqr_1.5x,89,17.148,benign,heavy-tailed runtime distribution (not a validity issue),"3.28923, 4.998, 3.10662, 32.5044, 4.88227","qwalk_5, qwalk_6, qwalk_6, qwalk_6, grover_7, adder_7, adder_7, adder_7, qwalk_7, qwalk_7, bv_8, grover_8, grover_8, grover_8, adder_8, qwalk_8, qwalk_8, qwalk_8, qft_9, bv_9, qaoa_line_9, vqe_twolocal_9, hardware_eff_9, grover_9, grover_9"
E12,reduction,reduction_negative,57,10.035,explainable,documented Qiskit gate-count inflation from basis-gate translation at low optimization levels (manuscript Sec. 6.3 footnote),"-3.91304, -3.1087, -2.56522, -2.56522, -2.30769","qwalk_3, qwalk_3, qwalk_3, qwalk_3, grover_4, grover_4, grover_4, grover_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, grover_5, grover_5, grover_5, grover_5, qwalk_5, qwalk_5, qwalk_5, qwalk_5, grover_6, qwalk_6, qwalk_6, qwalk_6, qwalk_6"
E12,reduction,zscore_abs_gt_4,13,2.289,explainable,documented Qiskit gate-count inflation from basis-gate translation at low optimization levels (manuscript Sec. 6.3 footnote),"-39, -49.0189, -42.3868, -41.934, -41.934","qwalk_7, qwalk_8, qwalk_8, qwalk_8, qwalk_8, qwalk_9, qwalk_9, qwalk_9, qwalk_9, qwalk_10, qwalk_10, qwalk_10, qwalk_10"
E12,reduction,iqr_1.5x,89,15.669,explainable,documented Qiskit gate-count inflation from basis-gate translation at low optimization levels (manuscript Sec. 6.3 footnote),"1, 1, 1, -3.91304, -3.1087","cnot_chain_3, cnot_chain_3, cnot_chain_3, qwalk_3, qwalk_3, qwalk_3, qwalk_3, cnot_chain_4, cnot_chain_4, cnot_chain_4, grover_4, grover_4, grover_4, grover_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, cnot_chain_5, cnot_chain_5, cnot_chain_5, grover_5, grover_5, grover_5, grover_5"
E12,fidelity,fidelity_fp_epsilon,54,9.507,benign,"fidelity 1+eps (float rounding, |eps|<=1e-9)","1, 1, 1, 1, 1","qaoa_line_3, qaoa_line_3, qaoa_line_3, qaoa_line_3, vqe_twolocal_3, vqe_twolocal_3, vqe_twolocal_3, vqe_twolocal_3, qaoa_line_4, qaoa_line_4, qaoa_line_4, qaoa_line_4, vqe_twolocal_4, vqe_twolocal_4, vqe_twolocal_4, vqe_twolocal_5, vqe_twolocal_5, vqe_twolocal_5, uccsd_5, uccsd_5, uccsd_5, uccsd_5, qaoa_line_6, qaoa_line_6, qaoa_line_6"
E12,fidelity,zscore_abs_gt_4,8,1.408,benign,"in-range statistical tail value (distributional, not a validity issue)","1, 1, 1, 1, 1","qwalk_8, qwalk_8, qwalk_8, qwalk_8, qwalk_9, qwalk_9, qwalk_9, qwalk_9"
E12,fidelity,iqr_1.5x,51,8.979,benign,"in-range statistical tail value (distributional, not a validity issue)","1, 1, 1, 1, 1","qwalk_4, qwalk_4, qwalk_4, qwalk_4, grover_5, grover_5, grover_5, grover_5, qwalk_5, qwalk_5, qwalk_5, qwalk_5, grover_6, grover_6, grover_6, grover_6, qwalk_6, qwalk_6, qwalk_6, qwalk_6, grover_7, grover_7, grover_7, grover_7, qwalk_7"
E12,runtime_seconds,zscore_abs_gt_4,8,1.408,benign,heavy-tailed runtime distribution (not a validity issue),"0.0671914, 0.078043, 0.125141, 0.0750947, 0.138114","vqe_twolocal_8, qwalk_8, qwalk_8, qwalk_9, qwalk_9, qwalk_10, qwalk_10, qwalk_10"
E12,runtime_seconds,iqr_1.5x,43,7.57,benign,heavy-tailed runtime distribution (not a validity issue),"0.0224216, 0.0519979, 0.0270019, 0.0506222, 0.0402169","qwalk_4, bv_6, qwalk_6, qwalk_6, qwalk_6, grover_7, qwalk_7, qwalk_7, qwalk_7, iqp_7, clifford_7, uccsd_7, qft_8, ghz_8, cnot_chain_8, cnot_chain_8, qaoa_line_8, qaoa_line_8, vqe_twolocal_8, vqe_twolocal_8, grover_8, grover_8, grover_8, qwalk_8, qwalk_8"
E14,reduction,zscore_abs_gt_4,110,5.164,benign,"in-range statistical tail value (distributional, not a validity issue)","1, 1, 1, 1, 1","cnot_chain_3, cnot_chain_3, cnot_chain_3, cnot_chain_3, cnot_chain_3, cnot_chain_3, cnot_chain_3, cnot_chain_3, cnot_chain_3, cnot_chain_3, cnot_chain_4, cnot_chain_4, cnot_chain_4, cnot_chain_4, cnot_chain_4, cnot_chain_4, cnot_chain_4, cnot_chain_4, cnot_chain_4, cnot_chain_4, cnot_chain_5, cnot_chain_5, cnot_chain_5, cnot_chain_5, cnot_chain_5"
E14,fidelity,fidelity_fp_epsilon,210,9.859,benign,"fidelity 1+eps (float rounding, |eps|<=1e-9)","1, 1, 1, 1, 1","qaoa_line_3, qaoa_line_3, qaoa_line_3, qaoa_line_3, qaoa_line_3, qaoa_line_3, qaoa_line_3, qaoa_line_3, qaoa_line_3, qaoa_line_3, qaoa_line_3, qaoa_line_3, qaoa_line_3, qaoa_line_3, qaoa_line_3, vqe_twolocal_3, vqe_twolocal_3, vqe_twolocal_3, vqe_twolocal_3, vqe_twolocal_3, vqe_twolocal_3, vqe_twolocal_3, vqe_twolocal_3, vqe_twolocal_3, vqe_twolocal_3"
E14,fidelity,fidelity_zero,20,0.939,explainable,failed trial (success=False),"0, 0, 0, 0, 0","qwalk_10, qwalk_10, qwalk_10, qwalk_10, qwalk_10, qwalk_10, qwalk_10, qwalk_10, qwalk_10, qwalk_10, qwalk_10, qwalk_10, qwalk_10, iqp_10, iqp_10, clifford_10, clifford_10, clifford_10, clifford_10, clifford_10"
E14,fidelity,zscore_abs_gt_4,20,0.939,explainable,failed trial (success=False),"0, 0, 0, 0, 0","qwalk_10, qwalk_10, qwalk_10, qwalk_10, qwalk_10, qwalk_10, qwalk_10, qwalk_10, qwalk_10, qwalk_10, qwalk_10, qwalk_10, qwalk_10, iqp_10, iqp_10, clifford_10, clifford_10, clifford_10, clifford_10, clifford_10"
E14,fidelity,iqr_1.5x,226,10.61,explainable,failed trial (success=False),"1, 1, 1, 1, 1","qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, grover_5, grover_5, grover_5, grover_5, grover_5, grover_5, grover_5, grover_5, grover_5, grover_5"
E14,runtime_seconds,zscore_abs_gt_4,8,0.376,benign,heavy-tailed runtime distribution (not a validity issue),"3113.25, 3606.03, 3163.19, 3145.97, 2873.23","qwalk_9, qwalk_9, qwalk_9, qwalk_9, qwalk_9, qwalk_10, qwalk_10, qwalk_10"
E14,runtime_seconds,iqr_1.5x,430,20.188,benign,heavy-tailed runtime distribution (not a validity issue),"4.0083, 2.45642, 2.06951, 2.58228, 2.02562","qwalk_5, qwalk_5, qwalk_5, qwalk_5, qwalk_5, qwalk_5, qwalk_6, qwalk_6, qwalk_6, qwalk_6, qwalk_6, qwalk_6, qwalk_6, qwalk_6, qwalk_6, qwalk_6, qwalk_6, qwalk_6, qwalk_6, qwalk_6, qwalk_6, grover_7, grover_7, grover_7, grover_7"
E15,reduction,reduction_negative,57,5.734,explainable,documented gate-count inflation from basis-gate translation (manuscript Sec. 6.3 footnote),"-3.91304, -3.1087, -2.56522, -2.56522, -2.30769","qwalk_3, qwalk_3, qwalk_3, qwalk_3, grover_4, grover_4, grover_4, grover_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, grover_5, grover_5, grover_5, grover_5, qwalk_5, qwalk_5, qwalk_5, qwalk_5, grover_6, qwalk_6, qwalk_6, qwalk_6, qwalk_6"
E15,reduction,zscore_abs_gt_4,17,1.71,explainable,documented gate-count inflation from basis-gate translation (manuscript Sec. 6.3 footnote),"-31.4634, -39, -33.2128, -32.8936, -32.8936","qwalk_6, qwalk_7, qwalk_7, qwalk_7, qwalk_7, qwalk_8, qwalk_8, qwalk_8, qwalk_8, qwalk_9, qwalk_9, qwalk_9, qwalk_9, qwalk_10, qwalk_10, qwalk_10, qwalk_10"
E15,reduction,iqr_1.5x,178,17.907,explainable,documented gate-count inflation from basis-gate translation (manuscript Sec. 6.3 footnote),"1, 1, 1, 1, 1","cnot_chain_3, cnot_chain_3, cnot_chain_3, cnot_chain_3, cnot_chain_3, grover_3, grover_3, grover_3, qwalk_3, qwalk_3, qwalk_3, qwalk_3, iqp_3, iqp_3, iqp_3, clifford_3, clifford_3, clifford_3, cnot_chain_4, cnot_chain_4, cnot_chain_4, cnot_chain_4, cnot_chain_4, grover_4, grover_4"
E15,fidelity,fidelity_fp_epsilon,96,9.658,benign,"fidelity 1+eps (float rounding, |eps|<=1e-9)","1, 1, 1, 1, 1","qaoa_line_3, qaoa_line_3, qaoa_line_3, qaoa_line_3, qaoa_line_3, qaoa_line_3, qaoa_line_3, vqe_twolocal_3, vqe_twolocal_3, vqe_twolocal_3, vqe_twolocal_3, vqe_twolocal_3, vqe_twolocal_3, vqe_twolocal_3, qaoa_line_4, qaoa_line_4, qaoa_line_4, qaoa_line_4, qaoa_line_4, qaoa_line_4, qaoa_line_4, vqe_twolocal_4, vqe_twolocal_4, vqe_twolocal_4, vqe_twolocal_5"
E15,fidelity,zscore_abs_gt_4,13,1.308,benign,"in-range statistical tail value (distributional, not a validity issue)","1, 1, 1, 1, 1","qwalk_8, qwalk_8, qwalk_8, qwalk_9, qwalk_9, qwalk_9, qwalk_9, qwalk_9, qwalk_9, qwalk_9, qwalk_10, qwalk_10, qwalk_10"
E15,fidelity,iqr_1.5x,96,9.658,benign,"in-range statistical tail value (distributional, not a validity issue)","1, 1, 1, 1, 1","qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, grover_5, grover_5, grover_5, grover_5, grover_5, grover_5, grover_5, qwalk_5, qwalk_5, qwalk_5, qwalk_5, qwalk_5, qwalk_5, qwalk_5, grover_6, grover_6, grover_6, grover_6"
E15,runtime_seconds,zscore_abs_gt_4,4,0.402,benign,heavy-tailed runtime distribution (not a validity issue),"3157.16, 4348.4, 4173.58, 14914.9","qwalk_9, qwalk_10, qwalk_10, qwalk_10"
E15,runtime_seconds,iqr_1.5x,192,19.316,benign,heavy-tailed runtime distribution (not a validity issue),"2.79766, 0.184026, 0.151984, 0.152159, 0.5909","qft_3, qwalk_3, qwalk_4, qwalk_4, qwalk_4, grover_5, adder_5, qwalk_5, qwalk_5, qwalk_5, qaoa_line_6, vqe_twolocal_6, grover_6, grover_6, grover_6, adder_6, qwalk_6, qwalk_6, qwalk_6, qwalk_6, uccsd_6, qft_7, cnot_chain_7, bv_7, qaoa_line_7"
E16,reduction,zscore_abs_gt_4,24,3.448,benign,"in-range statistical tail value (distributional, not a validity issue)","1, 1, 1, 1, 1","cnot_chain_3, cnot_chain_3, cnot_chain_3, cnot_chain_3, cnot_chain_4, cnot_chain_4, cnot_chain_4, cnot_chain_4, cnot_chain_5, cnot_chain_5, cnot_chain_5, cnot_chain_5, cnot_chain_6, cnot_chain_6, cnot_chain_6, cnot_chain_6, cnot_chain_7, cnot_chain_7, cnot_chain_7, cnot_chain_7, cnot_chain_8, cnot_chain_8, cnot_chain_8, cnot_chain_8"
E16,fidelity,fidelity_fp_epsilon,56,8.046,benign,"fidelity 1+eps (float rounding, |eps|<=1e-9)","1, 1, 1, 1, 1","qaoa_line_3, qaoa_line_3, qaoa_line_3, qaoa_line_3, qaoa_line_3, qaoa_line_3, qaoa_line_3, qaoa_line_3, vqe_twolocal_3, vqe_twolocal_3, vqe_twolocal_3, vqe_twolocal_3, vqe_twolocal_3, vqe_twolocal_3, vqe_twolocal_3, vqe_twolocal_3, qaoa_line_4, qaoa_line_4, qaoa_line_4, qaoa_line_4, qaoa_line_4, qaoa_line_4, qaoa_line_4, qaoa_line_4, uccsd_5"
E16,fidelity,zscore_abs_gt_4,16,2.299,benign,"in-range statistical tail value (distributional, not a validity issue)","1, 1, 1, 1, 1","qwalk_7, qwalk_7, qwalk_7, qwalk_7, qwalk_7, qwalk_7, qwalk_7, qwalk_7, qwalk_8, qwalk_8, qwalk_8, qwalk_8, qwalk_8, qwalk_8, qwalk_8, qwalk_8"
E16,fidelity,iqr_1.5x,78,11.207,benign,"in-range statistical tail value (distributional, not a validity issue)","1, 1, 1, 1, 1","qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, grover_5, grover_5, grover_5, grover_5, grover_5, grover_5, grover_5, grover_5, qwalk_5, qwalk_5, qwalk_5, qwalk_5, qwalk_5, qwalk_5, qwalk_5, qwalk_5, grover_6"
E16,runtime_seconds,zscore_abs_gt_4,4,0.575,benign,heavy-tailed runtime distribution (not a validity issue),"857.876, 332.409, 329.486, 331.802","qwalk_8, qwalk_8, qwalk_8, qwalk_8"
E16,runtime_seconds,iqr_1.5x,98,14.08,benign,heavy-tailed runtime distribution (not a validity issue),"0.316186, 0.313614, 0.310492, 0.309307, 0.340208","qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_5, qwalk_5, qwalk_5, qwalk_5, qwalk_5, qwalk_5, qwalk_5, qwalk_5, grover_6, grover_6, grover_6, grover_6, qwalk_6, qwalk_6, qwalk_6, qwalk_6, qwalk_6, qwalk_6, qwalk_6, qwalk_6, grover_7"
E17,fidelity,fidelity_fp_epsilon,30,3.974,benign,"fidelity 1+eps (float rounding, |eps|<=1e-9)","1, 1, 1, 1, 1","qaoa_line_3, qaoa_line_3, qaoa_line_3, qaoa_line_3, qaoa_line_3, qaoa_line_3, vqe_twolocal_3, vqe_twolocal_3, vqe_twolocal_3, vqe_twolocal_3, vqe_twolocal_3, vqe_twolocal_3, qaoa_line_4, qaoa_line_4, qaoa_line_4, vqe_twolocal_4, vqe_twolocal_4, vqe_twolocal_4, hardware_eff_4, hardware_eff_4, hardware_eff_4, hardware_eff_5, hardware_eff_5, hardware_eff_5, qaoa_line_6"
E17,fidelity,zscore_abs_gt_4,15,1.987,benign,"in-range statistical tail value (distributional, not a validity issue)","1, 1, 1, 1, 1","qwalk_7, qwalk_7, qwalk_7, qwalk_7, qwalk_7, qwalk_7, qwalk_8, qwalk_8, qwalk_8, qwalk_8, qwalk_8, qwalk_8, qwalk_8, qwalk_8, qwalk_8"
E17,fidelity,iqr_1.5x,111,14.702,benign,"in-range statistical tail value (distributional, not a validity issue)","1, 1, 1, 1, 1","qwalk_3, qwalk_3, qwalk_3, qwalk_3, qwalk_3, qwalk_3, qwalk_3, qwalk_3, qwalk_3, qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, grover_5, grover_5, grover_5, grover_5, grover_5, grover_5, grover_5"
E17,runtime_seconds,zscore_abs_gt_4,5,0.662,benign,heavy-tailed runtime distribution (not a validity issue),"144.742, 145.459, 581.454, 400.698, 486.252","qwalk_8, qwalk_8, qwalk_8, qwalk_8, qwalk_8"
E17,runtime_seconds,iqr_1.5x,132,17.483,benign,heavy-tailed runtime distribution (not a validity issue),"0.31503, 0.311812, 0.33414, 0.27993, 0.331998","qwalk_3, qwalk_3, qwalk_3, qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, grover_5, grover_5, grover_5, qwalk_5, qwalk_5, qwalk_5, qwalk_5, qwalk_5, qwalk_5, qwalk_5, qwalk_5, qwalk_5, grover_6"
E18,reduction,iqr_1.5x,22,8.148,benign,"in-range statistical tail value (distributional, not a validity issue)","1, 1, 1, 1, 1","cnot_chain_3, cnot_chain_3, cnot_chain_4, cnot_chain_4, cnot_chain_5, cnot_chain_5, cnot_chain_6, cnot_chain_6, cnot_chain_7, cnot_chain_7, cnot_chain_8, cnot_chain_8, cnot_chain_9, cnot_chain_9, cnot_chain_10, cnot_chain_10, cnot_chain_12, cnot_chain_12, cnot_chain_15, cnot_chain_15, cnot_chain_20, cnot_chain_20"
E18,fidelity,fidelity_zero,42,15.556,explainable,E18 Clifford+T decompose failure (documented survivor bias),"0, 0, 0, 0, 0","cnot_chain_12, cnot_chain_12, cnot_chain_12, bv_12, bv_12, bv_12, clifford_12, clifford_12, clifford_12, surface_code_12, surface_code_12, surface_code_12, ghz_15, ghz_15, ghz_15, cnot_chain_15, cnot_chain_15, cnot_chain_15, bv_15, bv_15, bv_15, clifford_15, clifford_15, clifford_15, surface_code_15"
E18,fidelity,iqr_1.5x,42,15.556,explainable,E18 Clifford+T decompose failure (documented survivor bias),"0, 0, 0, 0, 0","cnot_chain_12, cnot_chain_12, cnot_chain_12, bv_12, bv_12, bv_12, clifford_12, clifford_12, clifford_12, surface_code_12, surface_code_12, surface_code_12, ghz_15, ghz_15, ghz_15, cnot_chain_15, cnot_chain_15, cnot_chain_15, bv_15, bv_15, bv_15, clifford_15, clifford_15, clifford_15, surface_code_15"
E18,runtime_seconds,zscore_abs_gt_4,3,1.111,benign,heavy-tailed runtime distribution (not a validity issue),"78.2245, 91.997, 126.46","ghz_12, cnot_chain_12, cnot_chain_12"
E18,runtime_seconds,iqr_1.5x,39,14.444,benign,heavy-tailed runtime distribution (not a validity issue),"5.47807, 6.71524, 3.35977, 4.37023, 3.55444","bv_9, adder_9, clifford_9, surface_code_9, ghz_10, cnot_chain_10, cnot_chain_10, bv_10, bv_10, bv_10, adder_10, adder_10, adder_10, clifford_10, clifford_10, clifford_10, surface_code_10, surface_code_10, surface_code_10, ghz_12, ghz_12, ghz_12, cnot_chain_12, cnot_chain_12, cnot_chain_12"
E19,success,constant_status_column,10000,100.0,needs-attention,'success' is uniformly True across all rows; column carries no information and cannot corroborate failure flags,True,
E19,reduction,zscore_abs_gt_4,17,0.17,benign,"in-range statistical tail value (distributional, not a validity issue)","0.3, 0.333333, 0.266667, 0.266667, 0.333333",
E19,reduction,iqr_1.5x,56,0.56,benign,"in-range statistical tail value (distributional, not a validity issue)","0.2, 0.2, 0.2, 0.2, 0.2",
E19,fidelity,fidelity_fp_epsilon,9,0.09,benign,"fidelity 1+eps (float rounding, |eps|<=1e-9)","1, 1, 1, 1, 1",
E19,runtime_seconds,zscore_abs_gt_4,69,0.69,benign,heavy-tailed runtime distribution (not a validity issue),"0.180345, 0.166577, 0.154566, 0.209796, 0.216007",
E19,runtime_seconds,iqr_1.5x,839,8.39,benign,heavy-tailed runtime distribution (not a validity issue),"0.109463, 0.0783613, 0.0795414, 0.0822563, 0.082005",
E20,reduction,reduction_negative,220,20.561,explainable,documented gate-count inflation from basis-gate translation (manuscript Sec. 6.3 footnote),"-2.1, -0.25, -0.133333, -1.38462, -1.92308","qft_4, ghz_4, qaoa_line_4, grover_4, grover_4, grover_4, adder_4, qwalk_4, qwalk_4, surface_code_4, qft_6, ghz_6, qaoa_line_6, grover_6, qwalk_6, surface_code_6, ghz_8, qaoa_line_8, grover_8, qwalk_8, haar_4, qft_4, ghz_4, qaoa_line_4, grover_4"
E20,reduction,zscore_abs_gt_4,20,1.869,explainable,documented gate-count inflation from basis-gate translation (manuscript Sec. 6.3 footnote),"-27.0488, -41.934, -27.0488, -41.934, -27.0488","qwalk_6, qwalk_8, qwalk_6, qwalk_8, qwalk_6, qwalk_8, qwalk_6, qwalk_8, qwalk_6, qwalk_8, qwalk_6, qwalk_8, qwalk_6, qwalk_8, qwalk_6, qwalk_8, qwalk_6, qwalk_8, qwalk_6, qwalk_8"
E20,reduction,iqr_1.5x,170,15.888,explainable,documented gate-count inflation from basis-gate translation (manuscript Sec. 6.3 footnote),"-2.1, 1, 1, -1.38462, -1.92308","qft_4, cnot_chain_4, cnot_chain_4, grover_4, grover_4, grover_4, adder_4, qwalk_4, qwalk_4, qft_6, cnot_chain_6, cnot_chain_6, grover_6, qwalk_6, cnot_chain_8, grover_8, qwalk_8, qft_4, cnot_chain_4, cnot_chain_4, grover_4, grover_4, grover_4, adder_4, qwalk_4"
