tag,kind,query,note,status
56,ref,Yamashita Markov fast equivalence checking quantum circuits IEICE,IEICE E94-A 2011,"Overview of Part IV (2026.0; L Burgholzer, R Wille) | Advanced Equivalence Checking for Quantum Circuits (2026.0; L Burgholzer, R Wille) | Formally Verifying Quantum Phase Estimation Circuits with 1,000+ Qubit (2026.0; A Govindankutty, SK Srinivasan)"
61,ref,Iten Moyard Metger Sutter Woerner pattern matching quantum circuit,ACM TQC 3(1) 2022,"LAUREL: Logic Dependency-Aware Qubit Routing via Reinforcement Learnin (2026; MB Fan, CY Hsieh, TH Chiu, CY Lee…) | Quantum Circuit Optimization Techniques: A Literature Survey (2026; M Makarova, D Pastorello…) | Quantum algorithms for second-order boundary value problems (2026; L Kettunen, T Shinde)"
63,ref,Pointing Quanto quantum circuit identities automatic generation,QST 9 035045,"Quartz: superoptimization of quantum circuits (2022; M Xu, Z Li, O Padon, S Lin, J Pointing, A Hirth…) | Optimizing Quantum Circuits with Automatic Generation of Circuit Ident (1088; J Pointing, O Padon, Z Jia, H Ma, A Hirth, J Palsb) | QSimplify, Less is More: Reduction of Quantum Circuits (2025; V Mardones, S Sepúlveda)"
64,ref,Quarl learning-based quantum circuit optimizer OOPSLA,PACMPL 2024,NO_RESULTS
67,ref,Riu reinforcement learning quantum circuit ZX-calculus Quantum journal,Quantum 9 1634,NO_RESULTS
69,ref,MQT Bench Quetschlich Burgholzer Wille benchmarking,ACM TQC 2023,NO_RESULTS
70,ref,QASMBench benchmark suite NISQ evaluation simulation Ang Li,arXiv:2005.13018?,NO_RESULTS
81,ref,quantum circuit optimization survey Markov,ACM Comput Surv?,NO_RESULTS
82,ref,Bravyi Shaydulin Hu Maslov Clifford templates symbolic Pauli,Quantum 5 580,"Benchmarking the performance of quantum computing software (2024; PD Nation, AA Saki, S Brandhofer, L Bello…)"
N1,novelty,structural ceiling quantum circuit optimization,claim: structural ceiling terminology/framework,Recursive Algebra in Extended Integrated Symmetry: An Effective Framew (2025) | Entanglement production and convergence properties of the variational  (2020) | A sat scalpel for lattice surgery: representation and synthesis of sub (2024) | SW_Qsim: A minimize-memory quantum simulator with high-performance on  (2021)
N2,novelty,gate ordering sensitivity quantum circuit compiler optimization,claim: listing-model sensitivity,Qfactor: a domain-specific optimizer for quantum circuit instantiation (2023) | Quantum compiling (2022) | Quantum Circuit Synthesis Using Fuzzy-Logic-Assisted Genetic Algorithm (2025) | {UREQA}: Leveraging {Operation-Aware} error rates for effective quantu (2020)
N3,novelty,quantum circuit optimization representation dependence peephole,claim: representation determines reducibility,NO_RESULTS
N4,novelty,peephole optimization quantum circuits review,prior art context,NO_RESULTS
N5,novelty,compiler phase ordering problem peephole classical,classical analog,Composable and modular code generation in MLIR: A structured and retar (2022) | Automatic inference and fast interpretation of peephole optimization r (1987) | Optimization Techniques for Efficient Quantum Compilation on NISQ Devi (2026) | MileStone: A Multi-Objective Compiler Phase Ordering Framework for Gra (2026)
N6,novelty,predicting quantum circuit compilability structural features machine learning,claim: structural prediction of headroom,NO_RESULTS
N7,novelty,barren plateaus concentration of measure quantum,stat-phys context,Barren plateaus in quantum neural network training landscapes (2018) | Barren Plateaus Beyond Observable Concentration (2026) | Barren plateaus in variational quantum computing (2025) | How the Barren Plateau Problem Influences Quantum Machine Learning (2025)
N8,novelty,identity insertion rewriting local optimization gate sequences,claim: insertion sterility,Reinforcement Learning for Quantum Circuit Optimization: A Review (2026) | SSR: A Swapping-Sweeping-and-Rewriting Optimizer for Quantum Circuit T (2025) | MLIR for Quantum Beyond Gate Cancellation: Quantum Circuit Mapping Rei (2026) | Quantum circuit transformation and optimisation (2025)
N9,novelty,commutation rewriting quantum circuit optimization cancellation,prior art on commutation-based rewriting,A verified optimizer for quantum circuits (2021) | Equality Saturation for Quantum Circuit Optimization (2026) | Reinforcement Learning for Quantum Circuit Optimization: A Review (2026) | Design and optimization of complex quantum circuits targeting near-ter (2025)
N10,novelty,data structure ordering affects optimizer performance sequences,generic analog of listing sensitivity,Reordering patches improves vision models (2026) | Empirical Evaluation of No Free Lunch Violations in Permutation-Based  (2026) | RDF-3X: a RISC-style engine for RDF (2008) | Transformer-empowered actor-critic reinforcement learning for sequence (2026)
