metric_id,section,item,metric,target,status,evidence_domain,disposition
2.13,2,13,是否存在结果出来后改变 RQ、阈值或评价指标的情况？,top-tier audit question,PASS,docs/review/prepaper_protocol_2026-08-09.md; docs/theory/prepaper_theory_gate_2026-08-10.md,verified in current bounded contract
2.14,2,14,是否记录了每次主张缩窄的原因？,top-tier audit question,PARTIAL,docs/review/prepaper_protocol_2026-08-09.md; docs/theory/prepaper_theory_gate_2026-08-10.md,some evidence exists; residual work is required
2.15,2,15,是否有最强的竞争性解释？,top-tier audit question,PASS,docs/review/prepaper_protocol_2026-08-09.md; docs/theory/prepaper_theory_gate_2026-08-10.md,verified in current bounded contract
2.16,2,16,观察到的差异是否可能只来自基门转换？,top-tier audit question,PARTIAL,docs/review/prepaper_protocol_2026-08-09.md; docs/theory/prepaper_theory_gate_2026-08-10.md,some evidence exists; residual work is required
2.17,2,17,是否可能只是某个 compiler 默认配置的特例？,top-tier audit question,PARTIAL,docs/review/prepaper_protocol_2026-08-09.md; docs/theory/prepaper_theory_gate_2026-08-10.md,some evidence exists; residual work is required
2.18,2,18,是否可能只是时间预算差异？,top-tier audit question,PARTIAL,docs/review/prepaper_protocol_2026-08-09.md; docs/theory/prepaper_theory_gate_2026-08-10.md,some evidence exists; residual work is required
2.19,2,19,是否可能只是 circuit family composition 造成的 Simpson 悖论？,top-tier audit question,PASS,docs/review/prepaper_protocol_2026-08-09.md; docs/theory/prepaper_theory_gate_2026-08-10.md,verified in current bounded contract
2.20,2,20,是否可能只是搜索空间大小变化，而不是“结构”变化？,top-tier audit question,PARTIAL,docs/review/prepaper_protocol_2026-08-09.md; docs/theory/prepaper_theory_gate_2026-08-10.md,some evidence exists; residual work is required
2.21,2,21,“显著”是否同时具有统计意义和科学意义？,top-tier audit question,PASS,docs/review/prepaper_protocol_2026-08-09.md; docs/theory/prepaper_theory_gate_2026-08-10.md,verified in current bounded contract
2.22,2,22,如果效应只有 0.1%，是否仍有领域价值？,top-tier audit question,PASS,docs/review/prepaper_protocol_2026-08-09.md; docs/theory/prepaper_theory_gate_2026-08-10.md,verified in current bounded contract
2.23,2,23,如果平均效应为正但某些家族灾难性退化，结论如何变化？,top-tier audit question,PASS,docs/review/prepaper_protocol_2026-08-09.md; docs/theory/prepaper_theory_gate_2026-08-10.md,verified in current bounded contract
2.24,2,24,项目究竟发现了规律、构建了方法，还是主要发现了评价陷阱？,top-tier audit question,PASS,docs/review/prepaper_protocol_2026-08-09.md; docs/theory/prepaper_theory_gate_2026-08-10.md,verified in current bounded contract
2.25,2,25,这个结果改变了领域中哪一个具体判断？,top-tier audit question,PASS,docs/review/prepaper_protocol_2026-08-09.md; docs/theory/prepaper_theory_gate_2026-08-10.md,verified in current bounded contract
3.01,3,1,是否检索了相同任务，而不只是相同关键词？,top-tier audit question,PASS,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,verified in current bounded contract
3.02,3,2,是否检索了 compiler、synthesis、peephole、rewrite、equivalence、superoptimization、routing、representation learning、ZX-calculus 等不同术语体系？,top-tier audit question,PASS,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,verified in current bounded contract
3.03,3,3,是否逐篇核对最接近工作的输入表示？,top-tier audit question,PASS,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,verified in current bounded contract
3.04,3,4,是否逐篇核对它们的优化规则和动作空间？,top-tier audit question,PASS,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,verified in current bounded contract
3.05,3,5,是否比较了目标函数，而不只是方法名称？,top-tier audit question,PASS,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,verified in current bounded contract
3.06,3,6,是否区分 gate count、T-count、2Q count、depth 和 hardware fidelity？,top-tier audit question,PASS,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,verified in current bounded contract
3.07,3,7,是否已有论文研究 representation-changing edits？,top-tier audit question,PASS,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,verified in current bounded contract
3.08,3,8,是否已有 relaxed/non-contiguous peephole？,top-tier audit question,PASS,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,verified in current bounded contract
3.09,3,9,是否已有局部最优性或 cut-and-meld 证明？,top-tier audit question,PASS,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,verified in current bounded contract
3.10,3,10,是否已有 rewrite discovery、e-graph、RL、GNN 或神经搜索？,top-tier audit question,PASS,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,verified in current bounded contract
3.11,3,11,是否已有跨家族泛化实验？,top-tier audit question,PARTIAL,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,some evidence exists; residual work is required
3.12,3,12,是否已有 listing/order sensitivity 的直接实验？,top-tier audit question,EXTERNAL,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,"requires external hardware, independent people, or live literature evidence"
3.13,3,13,是否已有相同 counterexample？,top-tier audit question,FAIL,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,missing or failed; claim must remain barred until repaired
3.14,3,14,“首次”主张是否有可复查的检索协议？,top-tier audit question,PARTIAL,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,some evidence exists; residual work is required
3.15,3,15,是否记录检索日期、数据库、检索式和排除理由？,top-tier audit question,PARTIAL,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,some evidence exists; residual work is required
3.16,3,16,是否阅读论文正文而不是只看摘要？,top-tier audit question,PARTIAL,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,some evidence exists; residual work is required
3.17,3,17,是否检查附录、代码和 artifact？,top-tier audit question,PARTIAL,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,some evidence exists; residual work is required
3.18,3,18,是否检查 arXiv 最新版本和正式发表版本差异？,top-tier audit question,FAIL,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,missing or failed; claim must remain barred until repaired
3.19,3,19,是否查看引用该工作的后续论文？,top-tier audit question,FAIL,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,missing or failed; claim must remain barred until repaired
3.20,3,20,是否查看被该工作引用的更早来源？,top-tier audit question,PARTIAL,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,some evidence exists; residual work is required
3.21,3,21,负面引用和复现实验是否纳入？,top-tier audit question,FAIL,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,missing or failed; claim must remain barred until repaired
3.22,3,22,是否存在同一方法换名字的重复发现？,top-tier audit question,PARTIAL,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,some evidence exists; residual work is required
3.23,3,23,新颖性来自问题、理论、方法、数据、实验设计还是证据强度？,top-tier audit question,PASS,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,verified in current bounded contract
3.24,3,24,如果去掉“普适”“首次”“硬上界”等词，贡献是否仍成立？,top-tier audit question,PASS,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,verified in current bounded contract
3.25,3,25,是否能写出逐特征 novelty matrix？,top-tier audit question,PASS,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,verified in current bounded contract
3.26,3,26,与最接近工作相比，至少有一个无法被“工程实现不同”解释的增量吗？,top-tier audit question,PARTIAL,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,some evidence exists; residual work is required
3.27,3,27,该增量是否足以形成独立论文，而不只是 ablation？,top-tier audit question,FAIL,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,missing or failed; claim must remain barred until repaired
3.28,3,28,最新 6–12 个月是否重新搜索？,top-tier audit question,PASS,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,verified in current bounded contract
3.29,3,29,是否包含 Q-PreSyn、Quartz、Quarl、Quanto、GUOQ、OAC/cut-and-meld 等直接比较对象？,top-tier audit question,PARTIAL,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,some evidence exists; residual work is required
3.30,3,30,是否有匿名同行进行一次 novelty red-team？,top-tier audit question,FAIL,docs/review/prepaper_novelty_matrix_2026-08-10.md; docs/references/search_ledger.md,missing or failed; claim must remain barred until repaired
4.01,4,1,每个 theorem 的量词是否明确？,top-tier audit question,PARTIAL,docs/theory/formal_results.md; docs/theory/framework.md,some evidence exists; residual work is required
4.02,4,2,是对所有线路、某生成器，还是存在性构造？,top-tier audit question,PASS,docs/theory/formal_results.md; docs/theory/framework.md,verified in current bounded contract
4.03,4,3,门集是否固定？,top-tier audit question,PARTIAL,docs/theory/formal_results.md; docs/theory/framework.md,some evidence exists; residual work is required
4.04,4,4,是否允许 ancilla、measurement、reset 和 classical control？,top-tier audit question,FAIL,docs/theory/formal_results.md; docs/theory/framework.md,missing or failed; claim must remain barred until repaired
4.05,4,5,是否忽略全局相位？,top-tier audit question,PASS,docs/theory/formal_results.md; docs/theory/framework.md,verified in current bounded contract
4.06,4,6,是否允许重排可交换门？,top-tier audit question,PASS,docs/theory/formal_results.md; docs/theory/framework.md,verified in current bounded contract
4.07,4,7,局部窗口大小是否固定？,top-tier audit question,PASS,docs/theory/formal_results.md; docs/theory/framework.md,verified in current bounded contract
4.08,4,8,算法预算是否属于定理前提？,top-tier audit question,PARTIAL,docs/theory/formal_results.md; docs/theory/framework.md,some evidence exists; residual work is required
4.09,4,9,所谓最优是局部最优、规则最优还是全局最优？,top-tier audit question,PASS,docs/theory/formal_results.md; docs/theory/framework.md,verified in current bounded contract
4.10,4,10,上界或下界是否依赖输入 listing？,top-tier audit question,PASS,docs/theory/formal_results.md; docs/theory/framework.md,verified in current bounded contract
4.11,4,11,必要条件是否被误写成充分条件？,top-tier audit question,PASS,docs/theory/formal_results.md; docs/theory/framework.md,verified in current bounded contract
4.12,4,12,经验相关性是否被误写成定律？,top-tier audit question,PASS,docs/theory/formal_results.md; docs/theory/framework.md,verified in current bounded contract
4.13,4,13,是否存在极小反例搜索？,top-tier audit question,PASS,docs/theory/formal_results.md; docs/theory/framework.md,verified in current bounded contract
4.14,4,14,是否对 n=1、2、空线路和退化线路检查？,top-tier audit question,PARTIAL,docs/theory/formal_results.md; docs/theory/framework.md,some evidence exists; residual work is required
4.15,4,15,是否对不连续窗口检查？,top-tier audit question,PARTIAL,docs/theory/formal_results.md; docs/theory/framework.md,some evidence exists; residual work is required
4.16,4,16,是否检查规则冲突和非合流性？,top-tier audit question,FAIL,docs/theory/formal_results.md; docs/theory/framework.md,missing or failed; claim must remain barred until repaired
4.17,4,17,是否证明算法终止？,top-tier audit question,PARTIAL,docs/theory/formal_results.md; docs/theory/framework.md,some evidence exists; residual work is required
4.18,4,18,是否证明每步语义保持？,top-tier audit question,PARTIAL,docs/theory/formal_results.md; docs/theory/framework.md,some evidence exists; residual work is required
4.19,4,19,是否证明代价单调，还是允许先扩张后缩减？,top-tier audit question,PARTIAL,docs/theory/formal_results.md; docs/theory/framework.md,some evidence exists; residual work is required
4.20,4,20,是否存在循环 rewrite？,top-tier audit question,FAIL,docs/theory/formal_results.md; docs/theory/framework.md,missing or failed; claim must remain barred until repaired
4.21,4,21,复杂度结论是 worst-case、average-case 还是 observed scaling？,top-tier audit question,PASS,docs/theory/formal_results.md; docs/theory/framework.md,verified in current bounded contract
4.22,4,22,是否把搜索问题与验证问题的复杂性混淆？,top-tier audit question,PASS,docs/theory/formal_results.md; docs/theory/framework.md,verified in current bounded contract
4.23,4,23,QMA-hardness/NP-hardness 是否对应准确的决策问题？,top-tier audit question,PASS,docs/theory/formal_results.md; docs/theory/framework.md,verified in current bounded contract
4.24,4,24,reduction 是否完整、双向且 polynomial？,top-tier audit question,NA,docs/theory/formal_results.md; docs/theory/framework.md,outside the currently stated unitary/logical-circuit model
4.25,4,25,引用的复杂性结果是否真的适用于当前门集和误差模型？,top-tier audit question,PARTIAL,docs/theory/formal_results.md; docs/theory/framework.md,some evidence exists; residual work is required
4.26,4,26,理论指标能否由代码直接计算？,top-tier audit question,PASS,docs/theory/formal_results.md; docs/theory/framework.md,verified in current bounded contract
4.27,4,27,定理前提能否由测试自动验证？,top-tier audit question,PARTIAL,docs/theory/formal_results.md; docs/theory/framework.md,some evidence exists; residual work is required
4.28,4,28,每项理论结论是否有至少一个正例和反例测试？,top-tier audit question,PARTIAL,docs/theory/formal_results.md; docs/theory/framework.md,some evidence exists; residual work is required
4.29,4,29,是否用 property-based testing 搜索破坏定理的线路？,top-tier audit question,PARTIAL,docs/theory/formal_results.md; docs/theory/framework.md,some evidence exists; residual work is required
4.30,4,30,定理在参数化门、部分初始化和 observational equivalence 下是否仍成立？,top-tier audit question,FAIL,docs/theory/formal_results.md; docs/theory/framework.md,missing or failed; claim must remain barred until repaired
5.01,5,1,benchmark 是否覆盖随机、结构化、算法型、变分型和真实来源线路？,top-tier audit question,PARTIAL,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,some evidence exists; residual work is required
5.02,5,2,是否包含 QFT、Grover、BV、QAOA、VQE、Hamiltonian simulation、arithmetic、oracle、QEC 子电路？,top-tier audit question,PASS,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,verified in current bounded contract
5.03,5,3,是否覆盖 Clifford、Clifford+T、任意旋转和多控制门？,top-tier audit question,PASS,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,verified in current bounded contract
5.04,5,4,qubit 数范围是否足够宽？,top-tier audit question,PARTIAL,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,some evidence exists; residual work is required
5.05,5,5,gate count 和 depth 是否独立变化？,top-tier audit question,PARTIAL,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,some evidence exists; residual work is required
5.06,5,6,是否覆盖稀疏和稠密交互图？,top-tier audit question,PASS,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,verified in current bounded contract
5.07,5,7,是否覆盖线性、网格、重六边形、全连接等拓扑？,top-tier audit question,PARTIAL,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,some evidence exists; residual work is required
5.08,5,8,是否覆盖不同 gate diversity？,top-tier audit question,PASS,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,verified in current bounded contract
5.09,5,9,family 是否由真正不同的生成机制定义？,top-tier audit question,PASS,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,verified in current bounded contract
5.10,5,10,同一家族的不同 seed 是否被错误地当成独立 family？,top-tier audit question,PASS,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,verified in current bounded contract
5.11,5,11,是否存在大量重复或同构线路？,top-tier audit question,FAIL,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,missing or failed; claim must remain barred until repaired
5.12,5,12,是否计算电路哈希和规范化哈希？,top-tier audit question,PARTIAL,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,some evidence exists; residual work is required
5.13,5,13,train、validation、held-out 是否在 family 层隔离？,top-tier audit question,PASS,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,verified in current bounded contract
5.14,5,14,benchmark 是否被调参过程间接看过？,top-tier audit question,PASS,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,verified in current bounded contract
5.15,5,15,是否有数据泄漏到特征标准化或缺失值填充？,top-tier audit question,PASS,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,verified in current bounded contract
5.16,5,16,是否有 benchmark selection bias？,top-tier audit question,PARTIAL,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,some evidence exists; residual work is required
5.17,5,17,是否只选择自定义方法擅长的家族？,top-tier audit question,PARTIAL,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,some evidence exists; residual work is required
5.18,5,18,是否保留难例、失败例和零收益例？,top-tier audit question,PASS,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,verified in current bounded contract
5.19,5,19,是否有 known-optimum 或 known-near-optimum 实例？,top-tier audit question,PASS,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,verified in current bounded contract
5.20,5,20,是否包含 identity/mirror circuits 作为正确性 oracle？,top-tier audit question,PASS,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,verified in current bounded contract
5.21,5,21,是否包含不可优化的负对照？,top-tier audit question,PASS,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,verified in current bounded contract
5.22,5,22,是否包含人为插入可约简结构的正对照？,top-tier audit question,PASS,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,verified in current bounded contract
5.23,5,23,是否包含 adversarial listings？,top-tier audit question,PARTIAL,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,some evidence exists; residual work is required
5.24,5,24,是否包含相同 unitary 的多种 syntactic representation？,top-tier audit question,PASS,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,verified in current bounded contract
5.25,5,25,是否包含相同结构但不同参数的线路？,top-tier audit question,PASS,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,verified in current bounded contract
5.26,5,26,是否包含参数接近数值奇异点的线路？,top-tier audit question,FAIL,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,missing or failed; claim must remain barred until repaired
5.27,5,27,是否包含边界角度，如 0、π/2、π、2π？,top-tier audit question,PASS,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,verified in current bounded contract
5.28,5,28,是否与 MQT Bench 之类跨抽象层数据对齐？,top-tier audit question,FAIL,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,missing or failed; claim must remain barred until repaired
5.29,5,29,是否运行 Benchpress 风格的大型软件压力测试？,top-tier audit question,FAIL,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,missing or failed; claim must remain barred until repaired
5.30,5,30,每个 family×size 单元是否有足够独立实例？,top-tier audit question,PARTIAL,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,some evidence exists; residual work is required
5.31,5,31,样本量是否由 MDE/power 决定，而不是方便程度？,top-tier audit question,FAIL,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,missing or failed; claim must remain barred until repaired
5.32,5,32,是否报告 benchmark 全体和被运行子集的差异？,top-tier audit question,PARTIAL,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,some evidence exists; residual work is required
5.33,5,33,是否有数据版本、生成器版本、seed 和生成时间？,top-tier audit question,PASS,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,verified in current bounded contract
5.34,5,34,是否可以从生成器重建每个输入？,top-tier audit question,PASS,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,verified in current bounded contract
5.35,5,35,是否将真实线路和合成线路分层报告？,top-tier audit question,PARTIAL,data/DATA_CANONICAL.md; release/release_manifest.json; benchmark manifests,some evidence exists; residual work is required
6.01,6,1,算法伪代码和实现是否逐步骤一致？,top-tier audit question,PARTIAL,src/optimisation; experiments/e31_shared_rule_worker.py; experiments/e31_formal_orchestrator.py; checkpoint/resume fault tests,some evidence exists; residual work is required
6.02,6,2,当前解与历史最佳有效解是否分开保存？,top-tier audit question,PASS,src/optimisation; experiments/e31_shared_rule_worker.py; experiments/e31_formal_orchestrator.py; checkpoint/resume fault tests,verified in current bounded contract
6.03,6,3,无效候选是否可能覆盖有效 incumbent？,top-tier audit question,PASS,src/optimisation; experiments/e31_shared_rule_worker.py; experiments/e31_formal_orchestrator.py; checkpoint/resume fault tests,verified in current bounded contract
6.04,6,4,timeout 前找到的最佳有效解是否保留？,top-tier audit question,PARTIAL,src/optimisation; experiments/e31_shared_rule_worker.py; experiments/e31_formal_orchestrator.py; checkpoint/resume fault tests,some evidence exists; residual work is required
6.05,6,5,exception 是否可能被吞掉并记为成功？,top-tier audit question,PARTIAL,src/optimisation; experiments/e31_shared_rule_worker.py; experiments/e31_formal_orchestrator.py; checkpoint/resume fault tests,some evidence exists; residual work is required
6.06,6,6,多进程终止时子进程是否全部结束？,top-tier audit question,PASS,src/optimisation; experiments/e31_shared_rule_worker.py; experiments/e31_formal_orchestrator.py; checkpoint/resume fault tests,verified in current bounded contract
6.07,6,7,checkpoint 是否原子写入？,top-tier audit question,PASS,src/optimisation; experiments/e31_shared_rule_worker.py; experiments/e31_formal_orchestrator.py; checkpoint/resume fault tests,verified in current bounded contract
6.08,6,8,resume 是否重复或跳过实例？,top-tier audit question,PASS,src/optimisation; experiments/e31_shared_rule_worker.py; experiments/e31_formal_orchestrator.py; checkpoint/resume fault tests,verified in current bounded contract
6.09,6,9,seed 是否控制所有随机源？,top-tier audit question,PARTIAL,src/optimisation; experiments/e31_shared_rule_worker.py; experiments/e31_formal_orchestrator.py; checkpoint/resume fault tests,some evidence exists; residual work is required
